context,word,cloze_probability
bag,pen,0.9615384615384613
bag,pencil,0.9423076923076922
bag,marker,0.6538461538461537
bag,crayon,0.5769230769230768
bag,high lighter,0.2884615384615383
bag,lip stick,0.2307692307692306
bag,eye liner,0.1730769230769229
bag,cell phone,0.1532451923067234
bag,notepad,0.11538461538461531
bag,sharpie,0.11538461538461531
bag,voice recorder,0.1153846153846153
bag,chalk,0.0961538461538461
bag,makeup,0.0865384615339613
bag,eyebrow pencil,0.0576923076923076
bag,ink,0.0576923076923076
bag,paper,0.0576923076923076
bag,charcoal,0.0384615384615384
bag,envelope,0.0384615384615384
bag,nail polish,0.0384615384615384
bag,quill,0.0384615384615384
bag,tablet,0.0384615384615384
bag,snacks,0.037860576922108105
bag,receipt,0.0372596153836778
bag,bandaid,0.0372596153826778
bag,hair brush,0.0372596153826778
bag,tampon,0.0372596153826778
bag,book,0.0360576923058172
bag,medicine,0.0360576923058172
bag,chap stick,0.0324519230752355
bag,tissue,0.0300480769215143
bag,beeper,0.0192307692307692
bag,brush,0.0192307692307692
bag,business card,0.0192307692307692
bag,buzzer,0.0192307692307692
bag,camera,0.0192307692307692
bag,clip,0.0192307692307692
bag,color,0.0192307692307692
bag,computer,0.0192307692307692
bag,eye liner pencil,0.0192307692307692
bag,index card,0.0192307692307692
bag,ipad,0.0192307692307692
bag,keys,0.0192307692307692
bag,kindle,0.0192307692307692
bag,legal paper,0.0192307692307692
bag,lip pencil,0.0192307692307692
bag,mascara,0.0192307692307692
bag,note,0.0192307692307692
bag,paintbrush,0.0192307692307692
bag,pastels,0.0192307692307692
bag,whiteout,0.0192307692307692
bag,wipes,0.0192307692307692
bag,balm,0.0186298076913389
bag,bible,0.0186298076913389
bag,calender,0.0186298076913389
bag,camping,0.0186298076913389
bag,charger,0.0186298076913389
bag,checkbook,0.0186298076913389
bag,coffee,0.0186298076913389
bag,compact,0.0186298076913389
bag,cosmetics,0.0186298076913389
bag,credit card,0.0186298076913389
bag,drivers license,0.0186298076913389
bag,ear rings,0.0186298076913389
bag,earbuds,0.0186298076913389
bag,eat,0.0186298076913389
bag,eye shadow,0.0186298076913389
bag,folders,0.0186298076913389
bag,food,0.0186298076913389
bag,grocery list,0.0186298076913389
bag,hair ties,0.0186298076913389
bag,hand lotion,0.0186298076913389
bag,handgun,0.0186298076913389
bag,jacket,0.0186298076913389
bag,journals,0.0186298076913389
bag,keychain,0.0186298076913389
bag,knife,0.0186298076913389
bag,laptop,0.0186298076913389
bag,license,0.0186298076913389
bag,lint,0.0186298076913389
bag,lotion,0.0186298076913389
bag,mask,0.0186298076913389
bag,nail file,0.0186298076913389
bag,organizer,0.0186298076913389
bag,paperclips,0.0186298076913389
bag,passport,0.0186298076913389
bag,phonebook,0.0186298076913389
bag,picture,0.0186298076913389
bag,powder,0.0186298076913389
bag,purse,0.0186298076913389
bag,reciepts,0.0186298076913389
bag,sanitizer,0.0186298076913389
bag,scarf,0.0186298076913389
bag,taser,0.0186298076913389
bag,trinket,0.0186298076913389
bag,umbrella,0.0186298076913389
bag,vacation,0.0186298076913389
bag,watching movie,0.0186298076913389
bag,work,0.0186298076913389
