context,trigger,word,resnik_score
bag,chalk,chalk,13.366987624394278
bag,chalk,alabaster,12.673840443834333
bag,chalk,feldspar,12.673840443834333
bag,chalk,orthoclase,12.673840443834333
bag,chalk,plagioclase,12.673840443834333
bag,chalk,albite,12.673840443834333
bag,chalk,anorthite,12.673840443834333
bag,chalk,iceland_spar,12.673840443834333
bag,chalk,calcite,12.673840443834333
bag,chalk,moonstone,12.673840443834333
bag,chalk,spar,12.673840443834333
bag,chalk,quartz_crystal,9.703425978264631
bag,chalk,mineral,9.703425978264631
bag,chalk,ader_wax,9.703425978264631
bag,chalk,alabaster,9.703425978264631
bag,chalk,amblygonite,9.703425978264631
bag,chalk,amphibole,9.703425978264631
bag,chalk,amphibole_group,9.703425978264631
bag,chalk,apatite,9.703425978264631
bag,chalk,aragonite,9.703425978264631
bag,chalk,argentite,9.703425978264631
bag,chalk,argyrodite,9.703425978264631
bag,chalk,arsenopyrite,9.703425978264631
bag,chalk,asphalt,9.703425978264631
bag,chalk,augite,9.703425978264631
bag,chalk,azurite,9.703425978264631
bag,chalk,baddeleyite,9.703425978264631
bag,chalk,bastnasite,9.703425978264631
bag,chalk,bauxite,9.703425978264631
bag,chalk,beryl,9.703425978264631
bag,chalk,biotite,9.703425978264631
bag,chalk,borax,9.703425978264631
bag,chalk,bornite,9.703425978264631
bag,chalk,carnallite,9.703425978264631
bag,chalk,carnotite,9.703425978264631
bag,chalk,cassiterite,9.703425978264631
bag,chalk,celestite,9.703425978264631
bag,chalk,cerussite,9.703425978264631
bag,chalk,chalcocite,9.703425978264631
bag,chalk,chalcopyrite,9.703425978264631
bag,chalk,chlorite,9.703425978264631
bag,chalk,chromite,9.703425978264631
bag,chalk,chrysoberyl,9.703425978264631
bag,chalk,cinnabar,9.703425978264631
bag,chalk,cobaltite,9.703425978264631
bag,chalk,halite,9.703425978264631
bag,chalk,columbite-tantalite,9.703425978264631
bag,chalk,cordierite,9.703425978264631
bag,chalk,corundom,9.703425978264631
bag,chalk,cristobalite,9.703425978264631
bag,chalk,crocolite,9.703425978264631
bag,chalk,cryolite,9.703425978264631
bag,chalk,cuprite,9.703425978264631
bag,chalk,damourite,9.703425978264631
bag,chalk,dolomite,9.703425978264631
bag,chalk,earth_color,9.703425978264631
bag,chalk,emery,9.703425978264631
bag,chalk,erythrite,9.703425978264631
bag,chalk,fergusonite,9.703425978264631
bag,chalk,fluorapatite,9.703425978264631
bag,chalk,fluorite,9.703425978264631
bag,chalk,gadolinite,9.703425978264631
bag,chalk,galena,9.703425978264631
bag,chalk,garnet,9.703425978264631
bag,chalk,garnierite,9.703425978264631
bag,chalk,almandite,9.703425978264631
bag,chalk,germanite,9.703425978264631
bag,chalk,gesso,9.703425978264631
bag,chalk,gibbsite,9.703425978264631
bag,chalk,glauconite,9.703425978264631
bag,chalk,goethite,9.703425978264631
bag,chalk,greenockite,9.703425978264631
bag,chalk,gypsum,9.703425978264631
bag,chalk,hausmannite,9.703425978264631
bag,chalk,heavy_spar,9.703425978264631
bag,chalk,hemimorphite,9.703425978264631
bag,chalk,ilmenite,9.703425978264631
bag,chalk,jadeite,9.703425978264631
