analysis_level,context,score_scale,x_col,y_col,method,n,x_unique,y_unique,correlation,p_value,undefined_reason
unique_query,ALL,sum_logprob,base_logprob_sum,mean_but_not_logprob_sum,pearson,96,95,96,0.7467148727846311,2.4639774037935993e-18,
unique_query,ALL,sum_logprob,base_logprob_sum,mean_but_not_logprob_sum,spearman,96,95,96,0.7616886926545856,2.0591949110635378e-19,
unique_query,bag,sum_logprob,base_logprob_sum,mean_but_not_logprob_sum,pearson,6,6,6,0.9407452596290377,0.005162661006532772,
unique_query,bag,sum_logprob,base_logprob_sum,mean_but_not_logprob_sum,spearman,6,6,6,0.8285714285714287,0.04156268221574334,
unique_query,bakery,sum_logprob,base_logprob_sum,mean_but_not_logprob_sum,pearson,6,6,6,0.8734184203456498,0.023020242699046883,
unique_query,bakery,sum_logprob,base_logprob_sum,mean_but_not_logprob_sum,spearman,6,6,6,0.7714285714285715,0.07239650145772594,
unique_query,beach,sum_logprob,base_logprob_sum,mean_but_not_logprob_sum,pearson,6,6,6,0.8572548662609084,0.029109960024582347,
unique_query,beach,sum_logprob,base_logprob_sum,mean_but_not_logprob_sum,spearman,6,6,6,0.942857142857143,0.004804664723032055,
unique_query,cold,sum_logprob,base_logprob_sum,mean_but_not_logprob_sum,pearson,6,6,6,0.5234943875576045,0.28648928797212836,
unique_query,cold,sum_logprob,base_logprob_sum,mean_but_not_logprob_sum,spearman,6,6,6,0.48571428571428577,0.3287230320699709,
unique_query,cut,sum_logprob,base_logprob_sum,mean_but_not_logprob_sum,pearson,6,6,6,0.9504650581835808,0.003619793488680085,
unique_query,cut,sum_logprob,base_logprob_sum,mean_but_not_logprob_sum,spearman,6,6,6,1.0,0.0,
unique_query,fridge,sum_logprob,base_logprob_sum,mean_but_not_logprob_sum,pearson,6,6,6,0.9906553836970625,0.00013057478616414992,
unique_query,fridge,sum_logprob,base_logprob_sum,mean_but_not_logprob_sum,spearman,6,6,6,1.0,0.0,
unique_query,gym,sum_logprob,base_logprob_sum,mean_but_not_logprob_sum,pearson,6,6,6,0.9628665094448845,0.0020427425681710447,
unique_query,gym,sum_logprob,base_logprob_sum,mean_but_not_logprob_sum,spearman,6,6,6,0.942857142857143,0.004804664723032055,
